value,timestamp
89.42,2020-03-28T08:09:45.000Z
89.71,2020-03-28T08:14:45.000Z
81.43,2020-03-28T08:19:45.000Z
70.84,2020-03-28T08:24:46.000Z
65.43,2020-03-28T08:29:46.000Z
59.95,2020-03-28T08:34:46.000Z
52.89,2020-03-28T08:39:46.000Z
46.95,2020-03-28T08:44:46.000Z
42.90,2020-03-28T08:49:46.000Z
41.91,2020-03-28T08:54:46.000Z
39.98,2020-03-28T08:59:46.000Z
39.62,2020-03-28T09:04:46.000Z
39.31,2020-03-28T09:09:46.000Z
36.36,2020-03-28T09:14:46.000Z
33.23,2020-03-28T09:19:46.000Z
31.51,2020-03-28T09:24:46.000Z
32.18,2020-03-28T09:29:46.000Z
31.48,2020-03-28T09:34:46.000Z
28.30,2020-03-28T09:39:46.000Z
31.63,2020-03-28T09:44:46.000Z
25.46,2020-03-28T09:49:46.000Z
25.56,2020-03-28T09:54:46.000Z
28.53,2020-03-28T09:59:46.000Z
26.22,2020-03-28T10:04:46.000Z
23.16,2020-03-28T10:09:46.000Z
23.68,2020-03-28T10:14:46.000Z
24.74,2020-03-28T10:19:47.000Z
25.65,2020-03-28T10:24:47.000Z
23.65,2020-03-28T10:29:47.000Z
25.97,2020-03-28T10:34:47.000Z
24.96,2020-03-28T10:39:47.000Z
25.71,2020-03-28T10:44:47.000Z
25.77,2020-03-28T10:49:47.000Z
24.65,2020-03-28T10:54:47.000Z
25.90,2020-03-28T10:59:47.000Z
25.08,2020-03-28T11:04:47.000Z
24.85,2020-03-28T11:09:47.000Z
22.22,2020-03-28T11:14:47.000Z
22.77,2020-03-28T11:19:47.000Z
23.91,2020-03-28T11:24:47.000Z
21.34,2020-03-28T11:29:47.000Z
19.39,2020-03-28T11:34:47.000Z
24.13,2020-03-28T11:39:47.000Z
24.16,2020-03-28T11:44:47.000Z
21.92,2020-03-28T11:49:47.000Z
25.44,2020-03-28T11:54:47.000Z
24.50,2020-03-28T11:59:47.000Z
27.98,2020-03-28T12:04:47.000Z
32.10,2020-03-28T12:09:48.000Z
34.22,2020-03-28T12:14:48.000Z
33.78,2020-03-28T12:19:48.000Z
36.76,2020-03-28T12:24:48.000Z
41.22,2020-03-28T12:29:48.000Z
39.83,2020-03-28T12:34:48.000Z
40.47,2020-03-28T12:39:48.000Z
41.09,2020-03-28T12:44:48.000Z
36.94,2020-03-28T12:49:48.000Z
40.94,2020-03-28T12:54:48.000Z
44.07,2020-03-28T12:59:48.000Z
40.53,2020-03-28T13:04:48.000Z
41.05,2020-03-28T13:09:48.000Z
41.36,2020-03-28T13:14:48.000Z
41.46,2020-03-28T13:19:48.000Z
43.89,2020-03-28T13:24:48.000Z
42.55,2020-03-28T13:29:48.000Z
41.54,2020-03-28T13:34:48.000Z
41.86,2020-03-28T13:39:48.000Z
42.17,2020-03-28T13:44:48.000Z
42.27,2020-03-28T13:49:48.000Z
40.67,2020-03-28T13:54:48.000Z
43.71,2020-03-28T13:59:49.000Z
42.69,2020-03-28T14:04:49.000Z
43.61,2020-03-28T14:09:49.000Z
43.81,2020-03-28T14:14:49.000Z
43.63,2020-03-28T14:19:49.000Z
46.37,2020-03-28T14:24:49.000Z
43.93,2020-03-28T14:29:49.000Z
44.74,2020-03-28T14:34:49.000Z
47.49,2020-03-28T14:39:49.000Z
45.66,2020-03-28T14:44:49.000Z
48.11,2020-03-28T14:49:49.000Z
45.37,2020-03-28T14:54:49.000Z
43.57,2020-03-28T14:59:49.000Z
44.91,2020-03-28T15:04:49.000Z
48.28,2020-03-28T15:09:49.000Z
47.88,2020-03-28T15:14:49.000Z
45.95,2020-03-28T15:19:49.000Z
47.58,2020-03-28T15:24:49.000Z
45.75,2020-03-28T15:29:49.000Z
46.48,2020-03-28T15:34:49.000Z
45.06,2020-03-28T15:39:49.000Z
45.56,2020-03-28T15:44:49.000Z
45.38,2020-03-28T15:49:49.000Z
45.99,2020-03-28T15:54:49.000Z
45.59,2020-03-28T15:59:50.000Z
46.22,2020-03-28T16:04:50.000Z
50.29,2020-03-28T16:09:50.000Z
46.34,2020-03-28T16:14:50.000Z
49.70,2020-03-28T16:19:50.000Z
50.42,2020-03-28T16:24:50.000Z
46.26,2020-03-28T16:29:50.000Z
50.74,2020-03-28T16:34:50.000Z
48.73,2020-03-28T16:39:50.000Z
49.44,2020-03-28T16:44:50.000Z
50.69,2020-03-28T16:49:50.000Z
49.05,2020-03-28T16:54:50.000Z
49.29,2020-03-28T16:59:50.000Z
47.75,2020-03-28T17:04:50.000Z
47.88,2020-03-28T17:09:50.000Z
48.49,2020-03-28T17:14:50.000Z
48.21,2020-03-28T17:19:50.000Z
49.74,2020-03-28T17:24:50.000Z
49.55,2020-03-28T17:29:50.000Z
48.23,2020-03-28T17:34:50.000Z
49.58,2020-03-28T17:39:50.000Z
48.17,2020-03-28T17:44:50.000Z
46.15,2020-03-28T17:49:51.000Z
47.60,2020-03-28T17:54:51.000Z
46.19,2020-03-28T17:59:51.000Z
48.26,2020-03-28T18:04:51.000Z
50.34,2020-03-28T18:09:51.000Z
53.03,2020-03-28T18:14:51.000Z
55.08,2020-03-28T18:19:51.000Z
57.77,2020-03-28T18:24:51.000Z
58.90,2020-03-28T18:29:51.000Z
60.67,2020-03-28T18:34:51.000Z
58.95,2020-03-28T18:39:51.000Z
59.06,2020-03-28T18:44:51.000Z
59.08,2020-03-28T18:49:51.000Z
58.91,2020-03-28T18:54:51.000Z
60.55,2020-03-28T18:59:51.000Z
60.58,2020-03-28T19:04:51.000Z
61.53,2020-03-28T19:09:51.000Z
60.91,2020-03-28T19:14:51.000Z
60.61,2020-03-28T19:19:51.000Z
60.84,2020-03-28T19:24:51.000Z
62.21,2020-03-28T19:29:51.000Z
62.34,2020-03-28T19:34:51.000Z
64.19,2020-03-28T19:39:51.000Z
63.92,2020-03-28T19:44:51.000Z
62.99,2020-03-28T19:49:52.000Z
64.56,2020-03-28T19:54:52.000Z
63.56,2020-03-28T19:59:52.000Z
62.43,2020-03-28T20:04:52.000Z
64.31,2020-03-28T20:09:52.000Z
65.86,2020-03-28T20:14:52.000Z
65.48,2020-03-28T20:19:52.000Z
