sensorID,value,timestamp,longitude,latitude,hight
5d5d1209953683001a3f93f9,80.86,2020-08-27T03:47:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.25,2020-08-27T03:52:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.45,2020-08-27T03:57:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.55,2020-08-27T04:02:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.49,2020-08-27T04:07:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.39,2020-08-27T04:12:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.39,2020-08-27T04:17:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.39,2020-08-27T04:22:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.53,2020-08-27T04:27:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.49,2020-08-27T04:32:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.39,2020-08-27T04:37:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.53,2020-08-27T04:42:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.22,2020-08-27T04:47:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.22,2020-08-27T04:52:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.22,2020-08-27T04:57:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,79.82,2020-08-27T05:02:45.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.02,2020-08-27T05:07:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.02,2020-08-27T05:12:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,79.82,2020-08-27T05:17:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.02,2020-08-27T05:22:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.02,2020-08-27T05:27:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.36,2020-08-27T05:32:46.000Z,8.71,51.75,102.00
5d5d1209953683001a3f93f9,80.57,2020-08-27T05:37:46.000Z,8.71,51.75,102.00
