value,createdAt
18.60,2019-09-05T15:45:47.000Z
18.62,2019-09-05T15:45:16.000Z
18.60,2019-09-05T15:44:46.000Z
18.62,2019-09-05T15:44:16.000Z
18.62,2019-09-05T15:43:46.000Z
18.62,2019-09-05T15:43:16.000Z
18.62,2019-09-05T15:42:46.000Z
18.62,2019-09-05T15:42:15.000Z
18.62,2019-09-05T15:41:45.000Z
18.62,2019-09-05T15:41:15.000Z
18.62,2019-09-05T15:40:45.000Z
18.63,2019-09-05T15:40:15.000Z
18.62,2019-09-05T15:39:45.000Z
18.62,2019-09-05T15:39:15.000Z
18.62,2019-09-05T15:38:45.000Z
18.62,2019-09-05T15:38:15.000Z
18.60,2019-09-05T15:37:45.000Z
18.63,2019-09-05T15:37:14.000Z
18.62,2019-09-05T15:36:44.000Z
18.62,2019-09-05T15:36:14.000Z
18.62,2019-09-05T15:35:44.000Z
18.62,2019-09-05T15:35:14.000Z
18.62,2019-09-05T15:34:44.000Z
18.63,2019-09-05T15:34:14.000Z
18.62,2019-09-05T15:33:44.000Z
18.62,2019-09-05T15:33:14.000Z
18.62,2019-09-05T15:32:43.000Z
18.62,2019-09-05T15:32:13.000Z
18.63,2019-09-05T15:31:43.000Z
18.63,2019-09-05T15:31:13.000Z
18.62,2019-09-05T15:30:43.000Z
18.62,2019-09-05T15:30:13.000Z
18.63,2019-09-05T15:29:43.000Z
18.62,2019-09-05T15:29:13.000Z
18.62,2019-09-05T15:28:43.000Z
18.62,2019-09-05T15:28:12.000Z
18.60,2019-09-05T15:27:42.000Z
18.62,2019-09-05T15:27:12.000Z
18.62,2019-09-05T15:26:42.000Z
18.62,2019-09-05T15:26:12.000Z
18.60,2019-09-05T15:25:42.000Z
18.60,2019-09-05T15:25:12.000Z
18.60,2019-09-05T15:24:42.000Z
18.62,2019-09-05T15:24:12.000Z
18.62,2019-09-05T15:23:41.000Z
18.60,2019-09-05T15:23:11.000Z
18.60,2019-09-05T15:22:41.000Z
18.60,2019-09-05T15:22:11.000Z
18.60,2019-09-05T15:21:41.000Z
18.62,2019-09-05T15:21:11.000Z
18.60,2019-09-05T15:20:41.000Z
18.60,2019-09-05T15:20:11.000Z
18.60,2019-09-05T15:19:41.000Z
18.60,2019-09-05T15:19:11.000Z
18.59,2019-09-05T15:18:40.000Z
18.62,2019-09-05T15:18:10.000Z
18.60,2019-09-05T15:17:40.000Z
18.60,2019-09-05T15:17:10.000Z
18.62,2019-09-05T15:16:40.000Z
18.62,2019-09-05T15:16:10.000Z
18.62,2019-09-05T15:15:40.000Z
18.62,2019-09-05T15:15:09.000Z
18.60,2019-09-05T15:14:39.000Z
18.60,2019-09-05T15:14:09.000Z
18.60,2019-09-05T15:13:39.000Z
18.60,2019-09-05T15:13:09.000Z
18.62,2019-09-05T15:12:39.000Z
18.60,2019-09-05T15:12:09.000Z
18.62,2019-09-05T15:11:39.000Z
18.60,2019-09-05T15:11:08.000Z
18.62,2019-09-05T15:10:38.000Z
18.60,2019-09-05T15:10:08.000Z
18.62,2019-09-05T15:09:38.000Z
18.62,2019-09-05T15:09:08.000Z
18.60,2019-09-05T15:08:38.000Z
